CustomerID,recency,frequency,monetary
12680,21.4652777777778,4,862.81
13113,21.4659722222222,40,10510
15804,21.4784722222222,19,3848.55
13777,21.4826388888889,41,25748.35
17581,21.4854166666667,31,10736.11
12748,21.4861111111111,224,29072.1
12713,21.4888888888889,1,848.55
12526,21.49375,3,1316.66
16705,21.4944444444444,29,13946.13
15311,21.5,118,59419.34
12662,21.5006944444444,12,3817.08
17315,21.5013888888889,43,6204.46
16626,21.5027777777778,20,4379.65
18102,21.5069444444444,62,256438.49
14446,21.5180555555556,4,1039.58
14422,21.5236111111111,6,4263.64
17754,21.5277777777778,6,1739.92
15910,21.5479166666667,8,1232.18
12985,21.5513888888889,3,1215.62
15344,21.5520833333333,5,476.58
15498,21.5638888888889,35,12396.46
14051,21.5694444444444,26,15477.34
16558,21.5694444444444,24,8257.04
12518,21.5743055555556,5,2056.89
12423,21.5763888888889,9,1849.11
12433,21.5819444444444,7,13375.87
14397,21.5854166666667,23,2556.68
16954,21.5930555555556,9,2085.08
17428,21.59375,33,17078.45
15694,21.5944444444444,15,6423.6
17389,21.5986111111111,43,31300.08
17001,21.5986111111111,11,3989.57
16446,21.60625,3,2.90000000000001
17490,21.6194444444444,11,1926.88
14441,21.6201388888889,10,1545.14
17364,21.625,12,4455.73
13426,21.6256944444444,12,3550.7
13069,21.6395833333333,27,3717.82
15796,22.1701388888889,10,2666.61
14702,22.1881944444444,18,3250.64
14606,22.1888888888889,128,11713.85
17924,22.1888888888889,13,2894.33
13599,22.1902777777778,33,5030.6
13077,22.1916666666667,4,729.27
13883,22.1944444444444,9,2538.75
15755,22.2090277777778,8,2318.88
15951,22.2104166666667,3,669.57
17526,22.2111111111111,8,706.7
13318,22.2145833333333,3,640.76
13078,22.2166666666667,43,12432.28
17949,22.2180555555556,52,52750.84
17530,22.2208333333333,10,2385
15156,22.2347222222222,3,961.49
16401,22.2395833333333,20,4061.24
17675,22.2479166666667,41,20098.1
17144,22.2520833333333,2,984.57
16794,22.2541666666667,12,1201.51
15208,22.275,6,867.62
17405,22.2833333333333,5,967.22
13026,22.2930555555556,8,936.15
13536,22.3069444444444,7,3448.29
12955,22.3131944444444,14,4734.26
14621,22.3180555555556,6,1765.76
17491,22.3208333333333,11,3541.92
14911,22.3375,248,132572.62
13798,22.3395833333333,63,36351.42
13471,22.3444444444444,4,2531.58
16322,22.3465277777778,2,326.75
13404,22.3493055555556,2,252.49
13890,22.35,14,1860.86
14796,22.3534722222222,27,7839.51
17757,22.3534722222222,31,5585.49
16688,22.3583333333333,4,1260.86
15898,22.3590277777778,6,1384.68
16358,22.36875,5,2024.95
15484,22.3729166666667,5,3563.11
17451,22.3736111111111,10,1648.95
13013,22.3743055555556,15,4786.99
14569,22.3763888888889,1,227.39
13269,22.3798611111111,17,5315.92
16833,22.3895833333333,4,1106.53
14730,22.3895833333333,8,2005.06
14415,22.3902777777778,18,5811.56
17554,22.40625,5,1952.45
13098,22.4069444444444,41,28658.88
12476,22.4111111111111,20,6546.58
13263,22.4173611111111,35,7454.07
13521,22.4236111111111,3,1093.65
13680,22.4256944444444,5,2202.31
13510,22.4263888888889,5,1785.16
14653,22.4270833333333,7,1947.55
17644,22.4284722222222,17,2768.98
14056,22.4333333333333,29,8124.4
17528,22.4395833333333,11,3540.1
17243,22.4402777777778,30,8628.55
17668,22.4409722222222,2,347.75
15189,22.4430555555556,53,15802.14
16892,22.4458333333333,7,496.84
13081,22.4493055555556,21,27964.48
13298,22.4506944444444,1,360
17673,22.4541666666667,7,1622.22
15399,22.4555555555556,3,815.77
13860,22.4604166666667,6,1240
16933,22.4625,5,530.08
13102,22.4638888888889,27,6336.29
13954,22.4652777777778,3,378.59
14138,22.4694444444444,2,982.38
14719,22.4701388888889,6,1592.18
16210,22.475,18,21086.3
17522,22.4784722222222,5,1070.71
17436,22.4791666666667,2,216.3
13314,22.4798611111111,4,578.66
17830,22.4805555555556,3,398.7
14698,22.4819444444444,5,1250.76
14646,22.4916666666667,77,279489.02
16161,22.4930555555556,26,5352.97
17841,22.4951388888889,169,40340.78
15214,22.4951388888889,8,1661.44
15159,22.4965277777778,34,18573.68
15877,22.5020833333333,3,440.78
15187,22.5027777777778,18,4670.08
14217,22.5048611111111,24,1925.36
14442,22.5048611111111,5,1544.62
18223,22.50625,27,6315.23
12523,22.5097222222222,13,1745.57
16442,22.5118055555556,3,616.79
14135,22.5152777777778,15,4690.31
18109,22.5166666666667,31,7925.32
13394,22.5166666666667,10,2312.8
12437,22.5173611111111,19,4896.66
12621,22.5243055555556,23,13612.07
16891,22.53125,5,809.7
18210,22.5402777777778,6,2621.38
14129,22.5402777777778,5,1123.86
15453,22.5423611111111,7,1388.37
15520,22.5430555555556,1,343.5
15443,22.5555555555556,8,3212.16
13468,22.55625,41,5656.75
15950,22.5597222222222,5,1705.26
13436,22.5604166666667,1,196.89
14291,22.5652777777778,12,3873.3
12358,22.5652777777778,2,1168.06
12558,22.5736111111111,2,0
16019,22.5791666666667,10,3450.24
17677,22.5861111111111,43,16219.22
17631,22.5923611111111,3,528.33
14520,22.5930555555556,2,270.6
15237,22.5930555555556,4,1412.32
17856,22.5972222222222,6,1393.79
13924,22.5979166666667,11,1682.08
14191,22.6090277777778,14,4660.01
16523,22.6208333333333,28,9295.67
13408,22.6215277777778,81,27487.41
14251,22.6444444444444,5,2879.7
12935,23.2743055555556,8,2156.45
15298,23.2798611111111,14,3774.1
